User_ID,Cust_name,Product_ID,Gender,Age Group,Age,Marital_Status,State,Zone,Occupation,Product_Category,Orders,Amount,Status,unnamed1
1002935,Gibson,P00125975,F,36-45,40,0,Kaduna,Northern,Banking,Auto,3,23456,,
1002936,Mahima,P00125976,F,18-25,25,1,Anambra ,Eastern,Banking,Auto,4,23451,,
1002937,Etezadi,P00125977,M,51-55,54,1,Anambra ,Eastern,Govt,Hand & Power Tools,2,23434,,
1002938,James,P00125978,F,36-45,39,1,Anambra ,Eastern,Aviation,Auto,3,23389,,
1002939,Dean,P00125979,F,18-25,20,0,Anambra ,Eastern,Aviation,Auto,2,23365,,
1002940,Aman,P00125980,F,26-35,32,1,Anambra ,Eastern,Food Processing,Auto,3,23326,,
1002941,Mousam,P00125981,F,36-45,36,0,Anambra ,Eastern,Automobile,Auto,2,23314,,
1002942,Damala,P00125982,F,26-35,35,1,Kastina,Northern,Media,Auto,2,23306,,
1002943,Daniels,P00125983,F,51-55,55,1,Anambra ,Eastern,Healthcare,Auto,4,23302,,
1002944,Inderpreet,P00125984,M,26-35,27,1,Ibadan,Western,Govt,Auto,1,23285,,
1002945,Sweta,P00125985,M,18-25,20,1,Lagos,Western,Media,Auto,1,23281,,
1002946,Phonely,P00125986,F,26-35,32,0,Anambra ,Eastern,Aviation,Auto,1,23270,,
1002947,Mike,P00125987,M,55+,72,1,Ogun,Western,Media,Auto,4,23267,,
1002948,Dean,P00125988,F,18-25,25,1,Anambra ,Eastern,Banking,Auto,4,23252,,
1002949,Neola,P00125989,M,26-35,35,0,Jos,Central,Aviation,Auto,1,23247,,
1002950,Trupti,P00125990,M,26-35,30,1,Kaduna,Northern,Banking,Hand & Power Tools,2,23246,,
1002951,Zypern,P00125991,M,0-17,16,0,Anambra ,Eastern,Food Processing,Auto,4,23239,,
1002952,Ellison,P00125992,F,36-45,40,0,Anambra ,Eastern,Aviation,Auto,2,23201,,
1002953,Jane,P00125993,F,26-35,35,1,Anambra ,Eastern,Aviation,Auto,2,23185,,
1002954,Stewart,P00125994,M,36-45,45,1,Anambra ,Eastern,Agriculture,Hand & Power Tools,3,23160,,
1002955,Breyer,P00125995,F,26-35,28,0,Anambra ,Eastern,Banking,Auto,1,23154,,
1002956,Jesslyn,P00125996,M,26-35,32,1,Lagos,Western,Construction,Auto,3,23103,,
1002957,Abhijit,P00125997,F,26-35,32,0,Anambra ,Eastern,Retail,Auto,4,23066,,
1002958,Vineet,P00125998,F,51-55,53,0,Anambra ,Eastern,IT Sector,Auto,2,23053,,
1002959,Elizabeth,P00125999,F,36-45,43,1,Anambra ,Eastern,IT Sector,Auto,3,23047,,
1002960,Shivani,P00126000,M,26-35,29,0,Kano,Northern,IT Sector,Stationery,2,21563,,
1002961,Eugene,P00126001,F,46-50,47,0,Lagos,Western,Textile,Stationery,1,21547,,
1002962,Ishit,P00126002,F,26-35,35,0,Lagos,Western,Lawyer,Stationery,1,21533,,
1002963,Schwarz,P00126003,F,18-25,22,1,Lagos,Western,Media,Stationery,1,21503,,
1002964,Sujay,P00126004,M,26-35,34,1,Enugu,Eastern,IT Sector,Stationery,2,21495,,
1002965,Smriti,P00126005,F,26-35,33,1,Lagos,Western,Agriculture,Stationery,3,21463,,
1002966,Champaklata,P00126006,F,36-45,36,0,Lagos,Western,IT Sector,Stationery,4,21427,,
1002967,Patil,P00126007,F,51-55,52,0,Lagos,Western,IT Sector,Stationery,4,21423,,
1002968,Atharv,P00126008,M,18-25,18,1,Lagos,Western,Construction,Stationery,2,21401,,
1002969,Thais,P00126009,M,36-45,39,0,Kastina,Northern,Healthcare,Stationery,3,21397,,
1002970,Surabhi,P00126010,M,26-35,34,1,Lagos,Western,Agriculture,Stationery,4,21388,,
1002971,Bruce,P00126011,F,26-35,33,0,Kastina,Northern,Govt,Stationery,4,21325,,
1002972,Saurabh,P00126012,M,18-25,21,0,Lagos,Western,Automobile,Stationery,2,21320,,
1002973,Vaibhavi,P00126013,F,36-45,38,1,Lagos,Western,Aviation,Stationery,2,21317,,
1002974,Larry,P00126014,F,26-35,28,0,Lagos,Western,IT Sector,Stationery,4,21293,,
1002975,Parhena,P00126015,F,36-45,37,0,Lagos,Western,Hospitality,Stationery,1,21266,,
1002976,Pete,P00126016,M,18-25,20,0,Lagos,Western,Construction,Stationery,1,21259,,
1002977,Cyra,P00126017,M,18-25,23,1,Jos,Central,Media,Stationery,2,21246,,
1002978,Rozendal,P00126018,F,26-35,34,0,Lagos,Western,Banking,Stationery,4,21218,,
1002979,Jack,P00126019,M,46-50,49,0,Anambra ,Eastern,Govt,Stationery,2,21178,,
1002980,Victor,P00126020,M,36-45,38,1,Enugu,Eastern,Media,Stationery,1,21178,,
1002981,Debra,P00126021,F,26-35,30,0,Lagos,Western,Aviation,Stationery,4,21152,,
1002982,Bhosale,P00126022,F,18-25,25,0,Imo,Eastern,IT Sector,Tupperware,2,21079,,
1002983,Keshav,P00126023,M,18-25,19,1,Kastina,Northern,Media,Tupperware,1,21058,,
1002984,Arsheen,P00126024,M,36-45,42,0,Lagos,Western,Hospitality,Stationery,1,21039,,
1002985,Kaydos,P00126025,F,36-45,38,1,P/H,Southern,Media,Tupperware,3,21013,,
1002986,Fjeld,P00126026,F,18-25,21,1,Lagos,Western,IT Sector,Stationery,4,21009,,
1002987,Turumella,P00126027,M,26-35,35,0,Lagos,Western,Govt,Stationery,4,20981,,
1002988,Vernon,P00126028,F,18-25,24,1,Jos,Central,Govt,Tupperware,4,20967,,
1002989,Connell,P00126029,M,51-55,52,1,Ogun,Western,Healthcare,Stationery,2,20965,,
1002990,Shami,P00126030,F,51-55,53,1,Enugu,Eastern,Textile,Footwear & Shoes,4,20965,,
1002991,Flanagan,P00126031,F,36-45,37,1,Kaduna,Northern,Lawyer,Footwear & Shoes,2,20963,,
1002992,Pond,P00126032,F,26-35,28,1,Lagos,Western,IT Sector,Footwear & Shoes,1,20960,,
1002993,O'Brian,P00126033,M,46-50,50,0,Enugu,Eastern,Banking,Footwear & Shoes,3,20960,,
1002994,Namrata,P00126034,F,36-45,40,0,Lagos,Western,Lawyer,Footwear & Shoes,1,20959,,
1002995,Haushalter,P00126035,F,26-35,35,1,Imo,Eastern,Chemical,Footwear & Shoes,1,20955,,
1002996,Maurice,P00126036,F,36-45,45,0,Lagos,Western,Banking,Stationery,4,20951.5,,
1002997,Snel,P00126037,F,26-35,35,0,Lagos,Western,Food Processing,Footwear & Shoes,3,20950,,
1002998,Patrick,P00126038,F,18-25,18,0,Kastina,Northern,Aviation,Tupperware,3,20949,,
1002999,Sung,P00126039,M,18-25,22,0,Lagos,Western,Automobile,Footwear & Shoes,3,20948,,
1003000,Mahima,P00126040,F,36-45,43,1,Lagos,Western,Aviation,Footwear & Shoes,4,20945,,
1003001,Charlotte,P00126041,F,46-50,48,1,Enugu,Eastern,Automobile,Footwear & Shoes,2,20944,,
1003002,Anubhaw,P00126042,M,26-35,28,0,Lagos,Western,IT Sector,Stationery,1,20943,,
1003003,Black,P00126043,F,26-35,31,1,Lagos,Western,IT Sector,Footwear & Shoes,1,20938,,
1003004,Airdo,P00126044,F,18-25,23,0,Kaduna,Northern,Construction,Footwear & Shoes,2,20933,,
1003005,Bhawna,P00126045,F,36-45,44,0,Kaduna,Northern,Lawyer,Footwear & Shoes,3,20932,,
1003006,Corey-Lock,P00126046,F,26-35,34,0,Anambra ,Eastern,Automobile,Tupperware,2,20930,,
1003007,Akin,P00126047,F,46-50,46,0,Kaduna,Northern,Chemical,Footwear & Shoes,1,20929,,
1003008,Neil,P00126048,F,36-45,43,1,Lagos,Western,Govt,Footwear & Shoes,2,20928,,
1003009,Lisha,P00126049,M,18-25,21,1,Ibadan,Western,Textile,Footwear & Shoes,3,20925,,
1003010,Amlan,P00126050,M,51-55,54,0,Lagos,Western,IT Sector,Footwear & Shoes,3,20920,,
1003011,Inderpreet,P00126051,F,26-35,34,1,Lagos,Western,Healthcare,Footwear & Shoes,1,20914,,
1003012,Fisher,P00126052,F,36-45,44,1,Kaduna,Northern,Agriculture,Footwear & Shoes,2,20914,,
1003013,Linda,P00126053,F,26-35,29,0,Enugu,Eastern,Retail,Footwear & Shoes,3,20912,,
1003014,Aryan,P00126054,F,36-45,38,0,Enugu,Eastern,Healthcare,Footwear & Shoes,4,20912,,
1003015,Kajal,P00126055,F,51-55,55,0,Lagos,Western,Hospitality,Footwear & Shoes,2,20908,,
1003016,Neola,P00126056,F,26-35,26,1,Enugu,Eastern,Hospitality,Footwear & Shoes,1,20908,,
1003017,Murray,P00126057,F,46-50,46,0,Enugu,Eastern,Retail,Footwear & Shoes,4,20906,,
1003018,Sakshi,P00126058,F,46-50,48,1,Lagos,Western,Banking,Footwear & Shoes,1,,,
1003019,Bhishm,P00126059,M,36-45,38,0,Kaduna,Northern,Food Processing,Footwear & Shoes,3,20900,,
1003020,Apoorva,P00126060,F,36-45,41,1,Lagos,Western,IT Sector,Footwear & Shoes,2,,,
1003021,Sukruta,P00126061,F,46-50,47,0,Lagos,Western,Retail,Footwear & Shoes,1,20896,,
1003022,Arti,P00126062,F,26-35,35,0,Kaduna,Northern,Food Processing,Stationery,1,20883,,
1003023,Akshay,P00126063,F,26-35,31,1,Lagos,Western,Textile,Footwear & Shoes,4,20875,,
1003024,Swati,P00126064,F,26-35,26,1,Lagos,Western,IT Sector,Footwear & Shoes,2,20874,,
1003025,Mathew,P00126065,F,36-45,41,0,Enugu,Eastern,IT Sector,Footwear & Shoes,1,20874,,
1003026,Kushal,P00126066,F,36-45,42,0,Lagos,Western,IT Sector,Footwear & Shoes,1,20873,,
1003027,Luxemburg,P00126067,F,46-50,49,0,Lagos,Western,Lawyer,Footwear & Shoes,3,20870,,
1003028,Bharat,P00126068,F,36-45,44,0,Lagos,Western,Chemical,Stationery,2,20867,,
1003029,Sharda,P00126069,F,26-35,31,0,Enugu,Eastern,IT Sector,Footwear & Shoes,2,20865,,
1003030,Steele,P00126070,M,26-35,31,1,Ibadan,Western,IT Sector,Footwear & Shoes,3,20863,,
1003031,Hazel,P00126071,F,26-35,27,0,Abuja,Central,Automobile,Tupperware,3,20860,,
1003032,Shariari,P00126072,F,26-35,32,0,Enugu,Eastern,Retail,Footwear & Shoes,3,20855,,
1003033,Brittain,P00126073,M,55+,66,0,Kaduna,Northern,Govt,Footwear & Shoes,2,20853,,
1003034,Shiva,P00126074,F,26-35,28,0,Lagos,Western,Aviation,Stationery,4,20852,,
1003035,Noah,P00126075,F,51-55,52,0,Enugu,Eastern,Aviation,Footwear & Shoes,4,20850,,
1003036,Kotsonis,P00126076,F,18-25,19,0,Imo,Eastern,Healthcare,Footwear & Shoes,4,20847,,
1003037,Sanjay,P00126077,F,36-45,45,1,Lagos,Western,Construction,Footwear & Shoes,2,20840,,
1003038,Alejandro,P00126078,M,51-55,53,1,Kastina,Northern,Aviation,Footwear & Shoes,4,20837,,
1003039,Devendra,P00126079,F,36-45,36,0,Lagos,Western,Aviation,Footwear & Shoes,2,20833,,
1003040,Sujay,P00126080,F,36-45,41,1,Lagos,Western,Banking,Footwear & Shoes,4,20819,,
1003041,Moren,P00126081,F,18-25,22,0,Kaduna,Northern,Govt,Tupperware,1,20816,,
1003042,Neola,P00126082,F,26-35,30,1,Enugu,Eastern,Hospitality,Footwear & Shoes,3,20815,,
1003043,Philippe,P00126083,M,46-50,46,1,Enugu,Eastern,Hospitality,Footwear & Shoes,1,20815,,
1003044,Patterson,P00126084,F,46-50,47,0,Lagos,Western,IT Sector,Footwear & Shoes,4,20812,,
1003045,George,P00126085,F,26-35,29,0,Enugu,Eastern,Healthcare,Footwear & Shoes,2,20807,,
1003046,Rohan,P00126086,F,26-35,28,0,Lagos,Western,Banking,Footwear & Shoes,2,20805.45,,
1003047,Divyeshkumar,P00126087,M,51-55,53,1,P/H,Southern,Hospitality,Footwear & Shoes,4,20796,,
1003048,Divyeshkumar,P00126088,M,51-55,53,1,Kogi,Central,Hospitality,Footwear & Shoes,2,20796,,
1003049,Lynn,P00126089,M,0-17,15,0,Abuja,Central,Healthcare,Footwear & Shoes,4,20788,,
1003050,Bhawna,P00126090,M,36-45,40,1,Enugu,Eastern,IT Sector,Footwear & Shoes,3,20783,,
1003051,Mitch,P00126091,F,26-35,35,1,Lagos,Western,Automobile,Footwear & Shoes,1,20770,,
1003052,Ivan,P00126092,F,26-35,33,1,Enugu,Eastern,IT Sector,Footwear & Shoes,4,20767,,
1003053,Avila,P00126093,F,36-45,40,0,Enugu,Eastern,Aviation,Footwear & Shoes,1,20767,,
1003054,Ben,P00126094,F,51-55,52,0,Imo,Eastern,IT Sector,Tupperware,2,20757,,
1003055,Amlan,P00126095,F,26-35,27,1,Lagos,Western,Aviation,Footwear & Shoes,2,20752,,
1003056,Diwakar,P00126096,F,36-45,45,0,Lagos,Western,IT Sector,Footwear & Shoes,2,20752,,
1003057,Sharelle,P00126097,F,46-50,48,0,Enugu,Eastern,Aviation,Footwear & Shoes,4,20751,,
1003058,Amisha,P00126098,F,36-45,38,0,Kaduna,Northern,Media,Footwear & Shoes,4,20751,,
1003059,William,P00126099,F,26-35,33,1,Enugu,Eastern,IT Sector,Footwear & Shoes,3,20745,,
1003060,Foulston,P00126100,F,46-50,47,1,Kaduna,Northern,Banking,Footwear & Shoes,4,20745,,
1003061,Ferrer,P00126101,F,36-45,40,1,Kaduna,Northern,Media,Footwear & Shoes,2,20744,,
1003062,Muskan,P00126102,M,46-50,47,0,Kano,Northern,Automobile,Tupperware,1,20739,,
1003063,Stuart,P00126103,M,36-45,44,1,Enugu,Eastern,IT Sector,Footwear & Shoes,2,20739,,
1003064,Beth,P00126104,F,46-50,46,0,Imo,Eastern,Aviation,Footwear & Shoes,2,20729,,
1003065,Sauptik,P00126105,F,46-50,50,0,Lagos,Western,Aviation,Footwear & Shoes,4,20714,,
1003066,Pistek,P00126106,F,46-50,49,0,Enugu,Eastern,Healthcare,Footwear & Shoes,4,20712,,
1003067,Muhammed,P00126107,F,26-35,29,1,Kaduna,Northern,Banking,Tupperware,1,20707,,
1003068,Piyam,P00126108,F,51-55,53,0,Enugu,Eastern,Healthcare,Footwear & Shoes,1,20705,,
1003069,Hemant,P00126109,F,36-45,42,0,Imo,Eastern,IT Sector,Footwear & Shoes,2,20691,,
1003070,Dowd,P00126110,M,51-55,51,1,Kaduna,Northern,Aviation,Furniture,3,20689,,
1003071,Bixby,P00126111,F,26-35,26,1,Enugu,Eastern,Banking,Footwear & Shoes,2,20688,,
1003072,Brandow,P00126112,M,26-35,30,0,Kastina,Northern,Media,Footwear & Shoes,4,20678,,
1003073,Howell,P00126113,F,26-35,33,1,Enugu,Eastern,Aviation,Footwear & Shoes,4,20677,,
1003074,Ananya,P00126114,M,26-35,34,0,Jos,Central,Chemical,Furniture,1,20677,,
1003075,Sibella,P00126115,M,26-35,26,0,Enugu,Eastern,Retail,Footwear & Shoes,3,20676,,
1003076,Wale,P00126116,F,46-50,46,0,Kastina,Northern,Govt,Furniture,1,20673,,
1003077,Kritika,P00126117,F,36-45,36,1,Enugu,Eastern,Automobile,Footwear & Shoes,1,20669,,
1003078,Neola,P00126118,M,26-35,26,0,Lagos,Western,Chemical,Tupperware,4,20668,,
1003079,Parth,P00126119,F,46-50,50,1,Lagos,Western,Lawyer,Footwear & Shoes,1,20668,,
1003080,Brooke,P00126120,M,26-35,32,0,Kastina,Northern,Food Processing,Furniture,2,20666,,
1003081,Barcio,P00126121,F,36-45,38,0,Enugu,Eastern,Banking,Footwear & Shoes,3,20665,,
1003082,Pelletier,P00126122,F,36-45,41,1,Enugu,Eastern,Retail,Footwear & Shoes,1,20664,,
1003083,Michelle,P00126123,F,36-45,43,0,Enugu,Eastern,Automobile,Footwear & Shoes,3,20661,,
1003084,Bharat,P00126124,M,36-45,40,0,Lagos,Western,Food Processing,Footwear & Shoes,3,20660,,
1003085,Divyansh,P00126125,F,26-35,26,1,Lagos,Western,IT Sector,Footwear & Shoes,2,20659,,
1003086,Raglin,P00126126,F,36-45,36,1,Lagos,Western,Media,Footwear & Shoes,1,20659,,
1003087,Kajal,P00126127,F,46-50,50,0,Enugu,Eastern,IT Sector,Tupperware,1,20659,,
1003088,Natalie,P00126128,F,26-35,32,0,Lagos,Western,IT Sector,Footwear & Shoes,4,20657,,
1003089,Mrunal,P00126129,F,46-50,47,1,Lagos,Western,Hospitality,Footwear & Shoes,3,20654,,
1003090,Nikita,P00126130,F,51-55,51,0,Kastina,Northern,Media,Tupperware,2,20644,,
1003091,Siddharth,P00126131,F,36-45,36,0,Kaduna,Northern,Construction,Footwear & Shoes,1,20642,,
1003092,Cindy,P00126132,M,36-45,42,1,Kaduna,Northern,IT Sector,Footwear & Shoes,4,20641,,
1003093,Kartik,P00126133,F,46-50,49,1,Enugu,Eastern,Banking,Footwear & Shoes,1,,,
1003094,Savi,P00126134,F,26-35,32,1,Kaduna,Northern,Retail,Footwear & Shoes,1,20628,,
1003095,Yaanvi,P00126135,M,46-50,48,0,Lagos,Western,IT Sector,Tupperware,1,20627,,
1003096,Kalyani,P00126136,F,26-35,32,0,Zamfara,Northern,Food Processing,Furniture,1,20623,,
1003097,McCrossin,P00126137,M,36-45,41,0,Ogun,Western,Banking,Furniture,4,20622,,
1003098,Calhoun,P00126138,F,51-55,54,0,Lagos,Western,Retail,Footwear & Shoes,4,20620,,
1003099,Selesnick,P00126139,F,26-35,33,0,Enugu,Eastern,Chemical,Footwear & Shoes,4,20619,,
1003100,Parakh,P00126140,F,26-35,30,0,Enugu,Eastern,Lawyer,Footwear & Shoes,3,20615,,
1003101,Neola,P00126141,F,26-35,29,0,Lagos,Western,IT Sector,Footwear & Shoes,3,20608,,
1003102,Vaibhavi,P00126142,F,26-35,27,1,Zamfara,Northern,Media,Furniture,4,20608,,
1003103,Cari,P00126143,M,51-55,51,1,Kano,Northern,Aviation,Furniture,4,20607,,
1003104,Sink,P00126144,M,36-45,43,1,Enugu,Eastern,Textile,Furniture,1,20607,,
1003105,Geld,P00126145,M,26-35,31,0,Kastina,Northern,Healthcare,Tupperware,1,20606,,
1003106,Martinez,P00126146,M,55+,72,1,Kaduna,Northern,Textile,Footwear & Shoes,2,20603,,
1003107,Ameesha,P00126147,F,36-45,39,0,Kastina,Northern,IT Sector,Footwear & Shoes,2,20602,,
1003108,Jamie,P00126148,F,26-35,31,0,Enugu,Eastern,Aviation,Footwear & Shoes,4,20600,,
1003109,McCarthy,P00126149,M,36-45,42,1,Enugu,Eastern,Automobile,Footwear & Shoes,1,20600,,
1003110,Chad,P00126150,F,36-45,40,0,Lagos,Western,IT Sector,Footwear & Shoes,1,20598,,
1003111,Prichep,P00126151,F,26-35,26,1,Enugu,Eastern,Chemical,Footwear & Shoes,3,20598,,
1003112,Lanier,P00126152,F,26-35,27,0,Jos,Central,IT Sector,Tupperware,3,20598,,
1003113,Sukrith,P00126153,F,36-45,39,0,Jos,Central,Healthcare,Furniture,3,20595.99,,
1003114,Elliston,P00126154,F,18-25,25,1,Jos,Central,Banking,Furniture,2,20594,,
1003115,Bergman,P00126155,F,51-55,55,0,Imo,Eastern,Aviation,Footwear & Shoes,2,20589,,
1003116,Arthur,P00126156,F,26-35,29,0,Lagos,Western,Healthcare,Footwear & Shoes,1,20588,,
1003117,Murray,P00126157,F,46-50,50,1,Kaduna,Northern,Banking,Furniture,1,20588,,
1003118,Toch,P00126158,F,26-35,30,0,Lagos,Western,Banking,Footwear & Shoes,4,20586,,
1003119,Dahlen,P00126159,M,26-35,31,1,Imo,Eastern,Banking,Furniture,3,20586,,
1003120,Randy,P00126160,F,26-35,34,1,Enugu,Eastern,Lawyer,Footwear & Shoes,2,20581,,
1003121,Pradeep,P00126161,F,26-35,33,1,Kastina,Northern,Chemical,Footwear & Shoes,2,20579,,
1003122,Aayushi,P00126162,M,26-35,30,1,Enugu,Eastern,IT Sector,Furniture,4,20573,,
1003123,Aparajita,P00126163,F,26-35,29,0,Lagos,Western,Banking,Footwear & Shoes,4,20572,,
1003124,Arsheen,P00126164,F,46-50,49,0,Enugu,Eastern,Healthcare,Footwear & Shoes,3,20570,,
1003125,Becky,P00126165,F,26-35,34,0,Jos,Central,Healthcare,Furniture,4,20570,,
1003126,Aniket,P00126166,F,36-45,42,1,Kastina,Northern,Govt,Tupperware,3,20569,,
1003127,Gute,P00126167,M,36-45,38,1,Lagos,Western,Textile,Footwear & Shoes,3,20566,,
1003128,Gopal,P00126168,M,36-45,26,1,Lagos,Western,Chemical,Footwear & Shoes,4,20559,,
1003129,Soumya,P00126169,F,26-35,28,1,Kaduna,Northern,Banking,Furniture,1,20558,,
1003130,Cathy,P00126170,F,36-45,40,1,Lagos,Western,Media,Footwear & Shoes,1,20553,,
1003131,Jason,P00126171,M,51-55,54,0,P/H,Southern,Construction,Furniture,4,20550,,
1003132,Gjertsen,P00126172,F,46-50,47,1,Lagos,Western,Aviation,Footwear & Shoes,2,20549,,
1003133,Keshav,P00126173,M,18-25,19,0,Abuja,Central,Aviation,Footwear & Shoes,2,20548,,
1003134,Zydlo,P00126174,F,36-45,41,0,Lagos,Western,Govt,Footwear & Shoes,3,20547,,
1003135,Staavos,P00126175,M,36-45,41,0,Enugu,Eastern,Healthcare,Furniture,1,20546,,
1003136,Fein,P00126176,F,18-25,24,0,Kaduna,Northern,Healthcare,Footwear & Shoes,4,20544,,
1003137,Aastha,P00126177,F,18-25,23,0,Jos,Central,Hospitality,Furniture,1,20543,,
1003138,Lloyd,P00126178,F,18-25,25,0,Imo,Eastern,Govt,Furniture,3,20540,,
1003139,Harshita,P00126179,F,26-35,29,0,Lagos,Western,Media,Footwear & Shoes,2,20537,,
1003140,Kirkland,P00126180,M,26-35,34,0,Lagos,Western,Retail,Footwear & Shoes,1,20536,,
1003141,Trafton,P00126181,M,26-35,29,0,Kano,Northern,Automobile,Footwear & Shoes,4,20536,,
1003142,Shahid,P00126182,F,26-35,26,0,Enugu,Eastern,Aviation,Footwear & Shoes,2,20536,,
1003143,Dodson,P00126183,F,55+,83,1,Imo,Eastern,Govt,Furniture,1,20533,,
1003144,Redmond,P00126184,F,51-55,55,0,P/H,Southern,Aviation,Tupperware,1,20529,,
1003145,Payne,P00126185,F,36-45,37,1,Enugu,Eastern,IT Sector,Footwear & Shoes,4,20525,,
1003146,Jamie,P00126186,F,26-35,34,1,Lagos,Western,Chemical,Footwear & Shoes,4,20516,,
1003147,Cousins,P00126187,M,26-35,29,1,Anambra ,Eastern,IT Sector,Footwear & Shoes,4,20515,,
1003148,Eva,P00126188,F,18-25,23,1,Kaduna,Northern,Healthcare,Footwear & Shoes,1,20512,,
1003149,Mary,P00126189,F,51-55,51,1,Lagos,Western,Food Processing,Footwear & Shoes,1,20511,,
1003150,Kennedy,P00126190,F,36-45,39,1,Enugu,Eastern,Media,Footwear & Shoes,1,20509,,
1003151,Swetha,P00126191,F,36-45,41,1,Lagos,Western,Automobile,Footwear & Shoes,1,20508,,
1003152,Maxwell,P00126192,M,18-25,20,1,Abia ,Eastern,Healthcare,Footwear & Shoes,1,20508,,
1003153,Eno,P00126193,F,51-55,52,0,Kaduna,Northern,Aviation,Footwear & Shoes,2,20508,,
1003154,Eugene,P00126194,M,51-55,53,0,Anambra ,Eastern,Food Processing,Footwear & Shoes,4,20505,,
1003155,Sumeet,P00126195,F,46-50,48,0,Lagos,Western,Aviation,Footwear & Shoes,4,20503,,
1003156,Michelle,P00126196,F,26-35,31,1,Enugu,Eastern,Chemical,Footwear & Shoes,2,20502,,
1003157,Edelman,P00126197,F,51-55,55,0,Enugu,Eastern,Healthcare,Footwear & Shoes,3,20502,,
1003158,Rose,P00126198,M,36-45,40,1,Enugu,Eastern,Banking,Footwear & Shoes,4,20501,,
1003159,Ballard,P00126199,F,36-45,45,0,Lagos,Western,Textile,Footwear & Shoes,1,20500,,
1003160,Erica,P00126200,M,26-35,26,0,Ogun,Western,Aviation,Furniture,4,20495,,
1003161,Sheetal,P00126201,M,51-55,52,0,Enugu,Eastern,Chemical,Furniture,1,20494,,
1003162,Sweta,P00126202,F,26-35,27,1,Enugu,Eastern,Banking,Footwear & Shoes,1,20493,,
1003163,Jim,P00126203,F,26-35,35,0,Jos,Central,Media,Furniture,2,20492,,
1003164,Pond,P00126204,F,26-35,27,0,Enugu,Eastern,Food Processing,Footwear & Shoes,2,20488,,
1003165,Pinky,P00126205,M,36-45,42,1,Lagos,Western,IT Sector,Footwear & Shoes,2,20486,,
1003166,Eleni,P00126206,F,26-35,28,1,Enugu,Eastern,Textile,Footwear & Shoes,1,20486,,
1003167,Klamczynski,P00126207,M,26-35,28,0,Lagos,Western,Chemical,Footwear & Shoes,1,20484,,
1003168,Bellavance,P00126208,F,26-35,35,0,Imo,Eastern,IT Sector,Footwear & Shoes,4,20483,,
1003169,Talbott,P00126209,F,26-35,28,0,Jos,Central,Retail,Tupperware,2,20477,,
1003170,Dheeraj,P00126210,F,26-35,35,1,Imo,Eastern,Aviation,Footwear & Shoes,3,20477,,
